id,neighbourhood_cleansed,room_type,price_clean,accommodates,bedrooms,beds,availability_365,number_of_reviews,review_scores_rating,latitude,longitude,instant_bookable,host_is_superhost,estimated_revenue_l365d
6,North Hills,Entire home/apt,211.0,7,3.0,6.0,331,202,4.84,32.75522,-117.12873,f,t,50640.0
12447,Pacific Beach,Private room,82.0,2,1.0,0.0,304,7,4.86,32.80533,-117.234,f,t,3936.0
29967,Pacific Beach,Entire home/apt,184.0,6,2.0,3.0,331,129,4.76,32.80751,-117.2576,f,t,20608.0
62274,Pacific Beach,Private room,88.0,2,1.0,1.0,223,987,4.79,32.80583,-117.24244,f,t,22440.0
62949,Pacific Beach,Entire home/apt,105.0,2,0.0,0.0,182,1203,4.87,32.80655336124804,-117.23480750651348,f,t,26775.0
75668,North Hills,Private room,36.0,2,1.0,1.0,100,196,4.83,32.74699,-117.14243,f,f,0.0
77785,Old Town,Private room,90.0,1,1.0,1.0,88,20,4.85,32.749096,-117.191025,f,f,0.0
79300,North Hills,Private room,38.0,2,1.0,1.0,51,162,4.81,32.74715,-117.1428,f,f,0.0
103417,La Jolla,Private room,99.0,1,1.0,1.0,67,283,4.94,32.81321,-117.26853,f,f,17226.0
126344,Pacific Beach,Entire home/apt,417.0,8,3.0,6.0,192,206,4.72,32.80661,-117.25843,f,f,10008.0
132966,La Jolla,Entire home/apt,124.0,2,0.0,1.0,299,47,4.68,32.80934,-117.25913,f,f,31620.0
165967,West University Heights,Entire home/apt,161.0,2,0.0,1.0,215,796,4.98,32.75314,-117.15142,t,t,40572.0
171212,Carmel Valley,Entire home/apt,197.0,6,3.0,3.0,274,80,4.58,32.94568,-117.23229,f,f,23640.0
176588,Moreno Mission,Entire home/apt,101.0,4,0.0,2.0,88,259,4.81,32.77361,-117.2004,f,f,0.0
182504,Midtown,Entire home/apt,235.0,3,2.0,2.0,35,288,4.95,32.74316,-117.16748,f,t,25380.0
184238,Loma Portal,Entire home/apt,190.0,4,1.0,2.0,320,671,4.93,32.74109,-117.24503,f,t,48450.0
189785,La Jolla,Private room,105.0,2,1.0,1.0,130,43,4.98,32.81041,-117.26637,f,t,0.0
190225,La Jolla,Entire home/apt,555.0,14,5.0,9.0,284,333,4.9,32.84006,-117.26922,f,t,109890.0
211583,Mission Bay,Entire home/apt,233.0,4,2.0,3.0,217,269,4.9,32.76757,-117.25103,f,t,25164.0
213653,Torrey Pines,Entire home/apt,333.0,10,4.0,5.0,70,72,4.94,32.92565,-117.24847,f,t,50616.0
241210,North Hills,Private room,40.0,1,1.0,1.0,218,94,4.77,32.75819,-117.13749,f,f,0.0
246264,Linda Vista,Entire home/apt,117.0,2,1.0,1.0,304,64,4.83,32.79579,-117.17383,f,t,14508.0
289088,Midtown,Entire home/apt,81.0,1,1.0,1.0,82,517,4.79,32.74277,-117.17735,f,f,20655.0
292285,Loma Portal,Entire home/apt,125.0,3,2.0,2.0,47,67,4.61,32.75031,-117.23056,f,f,7750.0
293609,West University Heights,Entire home/apt,254.0,5,2.0,2.0,133,385,4.91,32.75906,-117.14445,f,t,60960.0
299720,Midtown,Entire home/apt,116.0,4,1.0,1.0,326,70,4.73,32.73464,-117.16452,f,t,21576.0
323773,Cortez Hill,Entire home/apt,225.0,4,2.0,2.0,365,3,5.0,32.72237,-117.1652,f,f,0.0
